"id","name","category","price","location","imageURL","imageURL2","description","sellerId"
"1","Game Boy","consola","209.0","Vigo","6ed941af-a15f-4a03-89ca-3dfc49d57d2d-metag.jpg","9704b76a-196b-4031-96fa-01aefffc9103-metag1.jpg","Gameboy color IPS collector Metal Gear Solid edition. incluye caja","1"
"2","Iphone 2","movil","160.0","Vigo","ca307a57-893a-4c8e-9df8-dff585a65b08-iphone2g2.jpg","41c98117-caae-4015-bca8-13e76682d36b-iphone2g.webp","capacidad 16gb funcionando. no incluye cargador pero si la caja","1"
"3","Cámara Zenza","otros","620.0","vigo","366cf1b0-2bfb-4431-8928-2639873cb3da-zenza2.jpg","66011698-0443-4973-98f0-6c48811ed257-zenza_ fabricada_japon.jpg","Fabricada en Japón a partir de 1989, es una cámara que se lanzó mejorando los sistemas ETR anteriores de la marca, TTL flash metering, bloqueo de espejo, aviso en visor de doble exposición...\r\n\r\nPuedes intercambiar su lente y su respaldo, montarla en trípode y sincronizar el flash con todas las velocidades.\r\n\r\n¡Una cámara súper versátil!","1"
"4","PORTATIL IBM ANTIGUO","ordenador","870.0","lugo","53e122c7-e8af-44dc-ab01-be06419a9cca-portatil-ibm-antiguo-8573-121.jpg","cd7ec6f4-80f8-4625-8b2c-d73eb6fe5144-portatil-ibm-antiguo-8573-121 (1).jpg","Modelo 8573-121\r\nComputadora ""portátil""de 9Kg. Computadora con pantalla de plasma roja y marrón, que puede mostrar 16 tonos de gris. La pantalla se puede extraer en la parte inferior para un buen rendimiento, ya que se puede inclinar.\r\n\r\nA la derecha de la pantalla hay una unidad de disco de 3,5 "" de 1,44 MB. Sale en la parte superior, porque también se puede inclinar.\r\n\r\nEsta máquina es uno de los dos modelos denominados ""cargables"" que IBM produjo como parte de la familia PS / 2. En la configuración 8573-121 tiene una CPU 386DX funcionando a 20MHz emparejada con un disco duro de 120MB.\r\n\r\nConsiderándolo todo, este era un sistema informático móvil de alta gama en su día. Funciona solo con alimentación de CA y no tiene batería en su interior.","2"
"5","Final Fantasy IX","videojuegos","80.0","Lugo","00824bfc-a903-4301-846c-9bd2157d9df8-Captura de pantalla 2024-02-10 180848.png","c016c8d8-6acb-4aaa-a53d-506f86f1e749-Captura de pantalla 2024-02-10 181050.png","uno de los mejores juegos de la serie Final Fantasy y de  lapsone","2"
"6","Silent Hill","videojuegos","80.0","Lugo","fb3bc147-e779-4427-9736-1a12d728fad3-PS1-SILENT-HILL-PLATINUM-PAL-ESP-COMPLETO-20210625082934.6180530015.jpg","edc307cf-0d79-429c-9215-6dfd4a0cb1a9-51+Rca5PjrL._AC_UF1000,1000_QL80_.jpg","PS1 SILENT HILL PLATINUM PAL ESP COMPLETO ","2"
"7","Dragon Quest 8","videojuegos","39.9","Lugo","8f28f0e6-4b82-4d49-9ca9-7bee1b667e14-s-l1600.jpg","3bab1a18-12d5-44fb-8268-b90dd3d67372-s-l1200.jpg","El preriplo del rey maldito E n perfecto estado. Incluye manual","2"
"8","lg cristal","movil","180.0","Vigo","425b3a12-0248-45ac-8f91-417ad4904e2f-1366_2000.jpg","d070e8a2-820e-4b24-a589-0bf7498179f3-2560_3000.jpg","primer movil transparente. increiblemente funciona tacnologia 3g","3"
"9","MOTOROLA DYNATAC 8000X ","movil","12000.0","Vigo","bddf0ba2-a9c5-469e-ade9-de73bfca1f3c-s-l1600 (1).jpg","bf574cda-1260-4be7-88f8-46b286669f90-s-l1600 (2).jpg"," PRIMER TELÉFONO CELULAR DE LADRILLO DE COLECCIÓN RETRO MUSEO RARO","3"
"10","Gameboy Advance SP AGS-101 o IPS Rayquaza Pokémon","consola","220.0","Vigo","1707665200043-3905839804.jpg","1707665200044-3905840760.jpg","Pantalla de vidrio y batería nueva*","3"
"11","TELEFUNKEN GAVOTTE 8 EXPORT","radio","395.0","A Coruña","896ddc7e-80fe-4844-b4bf-203708ac0bc8-SSB3Tu.webp","34f107eb-8ea8-465f-8d2c-24dab7ca02b2-tHooRr.webp","Radio antigua de válvulas fabricada por TELEFUNKEN, modelo GAVOTTE 8 EXPORT fabricada en Alemania en 1958. Se trata de una serie especial que incluye Onda Corta, aparte de la habitual FM, Onda Media y Onda Larga. Con Onda Corta podrás llegar a sintonizar emisoras onda corta de otros paises lejanos.\r\n\r\nLos modelos Gavotte de Telefunken son las mejores radios medianas que existen. Con sus 3 altavoces proporcionan un sonido excelente.","4"
"12","VE301DYN","radio","890.0","A Coruña","e02f8346-d218-42bb-a09f-0506f4530658-U2NMWa.webp","9af5f79d-d683-455e-8529-62e737957d80-jyABXl.webp","Radio antigua de válvulas VE301DYN fabricada en 1938 por la marca alemana STASSSFURTER RUNDFUNK.\r\n\r\nIMPORTANTE: No pretendemos hacer ningún tipo de ideología con esta radio. Es simplemente una pieza de museo con un enorme valor histórico, y así debe ser tenida en cuenta.","4"
"13","SNK Neo-Geo AES","consola","400.0","Tui","1b121209-bb82-47b3-bc1e-caaa02885799-Collection0189-scaled.webp","93a2f8a2-7af1-4b86-9728-06a37f1f525f-DSC01831.jpg","es la versión doméstica del sistema de videojuegos para máquinas arcade Neo-Geo de la compañía de videojuegos japonesa SNK. Fue la consola de sobremesa de mayor duración en producción, desde su lanzamiento en tierras niponas el 1 de julio de 1991 hasta la aparición de su último juego oficial (Samurai Spirits Zero Special) el 19 de octubre del 2004.","8"
